Date,USDX_Close
8/25/16,94.769997
8/26/16,95.57
8/28/16,null
8/29/16,95.580002
8/30/16,96.050003
8/31/16,96.019997
9/1/16,95.650002
9/2/16,95.879997
9/4/16,null
9/6/16,94.82
9/7/16,94.959999
9/8/16,95.029999
9/9/16,95.339996
9/11/16,null
9/12/16,95.099998
9/13/16,95.629997
9/14/16,95.330002
9/15/16,95.290001
9/16/16,96.110001
9/18/16,null
9/19/16,95.839996
9/20/16,96.019997
9/21/16,95.660004
9/22/16,95.449997
9/23/16,95.480003
9/25/16,null
9/26/16,95.309998
9/27/16,95.440002
9/28/16,95.43
9/29/16,95.540001
9/30/16,95.459999
10/2/16,null
10/3/16,95.75
10/4/16,96.120003
10/5/16,96.129997
10/6/16,96.660004
10/7/16,96.519997
10/9/16,null
10/11/16,97.699997
10/12/16,97.970001
10/13/16,97.519997
10/14/16,98.019997
10/16/16,null
10/17/16,97.889999
10/18/16,97.900002
10/19/16,97.870003
10/20/16,98.32
10/21/16,98.699997
10/23/16,null
10/24/16,98.669998
10/25/16,98.720001
10/26/16,98.629997
10/27/16,98.889999
10/28/16,98.349998
10/30/16,null
10/31/16,98.449997
11/1/16,97.699997
11/2/16,97.400002
11/3/16,97.160004
11/4/16,97.07
11/6/16,null
11/7/16,97.779999
11/8/16,97.860001
11/9/16,98.5
11/10/16,98.790001
11/13/16,null
11/14/16,100.110001
11/15/16,100.190002
11/16/16,100.410004
11/17/16,100.889999
11/18/16,101.209999
11/20/16,null
11/21/16,101.050003
11/22/16,101.040001
11/23/16,101.699997
11/25/16,101.489998
11/27/16,null
11/28/16,101.330002
11/29/16,100.93
11/30/16,101.5
12/1/16,101.040001
12/2/16,100.769997
12/4/16,null
12/5/16,100.139999
12/6/16,100.489998
12/7/16,100.230003
12/8/16,101.07
12/9/16,101.57
12/11/16,null
12/12/16,100.959999
12/13/16,101.029999
12/14/16,102
12/15/16,103.129997
12/16/16,102.949997
12/18/16,null
12/19/16,103.139999
12/20/16,103.290001
12/21/16,103.019997
12/22/16,103.089996
12/23/16,103.010002
12/25/16,null
12/27/16,103.019997
12/28/16,103.260002
12/29/16,102.68
12/30/16,102.389999
1/1/17,null
1/3/17,103.209999
1/4/17,102.699997
1/5/17,101.519997
1/6/17,102.220001
1/8/17,null
1/9/17,101.93
1/10/17,102.010002
1/11/17,101.779999
1/12/17,101.349998
1/13/17,101.18
1/15/17,null
1/17/17,100.330002
1/18/17,100.93
1/19/17,101.150002
1/20/17,100.739998
1/22/17,null
1/23/17,100.160004
1/24/17,100.349998
1/25/17,100.029999
1/26/17,100.379997
1/27/17,100.529999
1/29/17,null
1/30/17,100.43
1/31/17,99.510002
2/1/17,99.639999
2/2/17,99.849998
2/3/17,99.870003
2/5/17,null
2/6/17,99.910004
2/7/17,100.260002
2/8/17,100.279999
2/9/17,100.650002
2/10/17,100.800003
2/12/17,null
2/13/17,100.959999
2/14/17,101.25
2/15/17,101.18
2/16/17,100.440002
2/17/17,100.949997
2/19/17,null
2/21/17,101.370003
2/22/17,101.330002
2/23/17,101.050003
2/24/17,101.089996
2/26/17,null
2/27/17,101.129997
2/28/17,101.120003
3/1/17,101.779999
3/2/17,102.199997
3/3/17,101.540001
3/5/17,null
3/6/17,101.639999
3/7/17,101.809998
3/8/17,102.07
3/9/17,101.849998
3/10/17,101.25
3/12/17,null
3/13/17,101.379997
3/14/17,101.699997
3/15/17,100.739998
3/16/17,100.269997
3/17/17,100.300003
3/19/17,null
3/20/17,100.410004
3/21/17,99.809998
3/22/17,99.68
3/23/17,99.760002
3/24/17,99.629997
3/26/17,null
3/27/17,99.169998
3/28/17,99.709999
3/29/17,100
3/30/17,100.410004
3/31/17,100.349998
4/2/17,null
4/3/17,100.540001
4/4/17,100.540001
4/5/17,100.559998
4/6/17,100.669998
4/7/17,101.18
4/9/17,null
4/10/17,101.019997
4/11/17,100.709999
4/12/17,100.779999
4/13/17,100.559998
4/16/17,null
4/17/17,100.300003
4/18/17,99.5
4/19/17,99.739998
4/20/17,99.779999
4/21/17,99.980003
4/23/17,null
4/24/17,99.089996
4/25/17,98.82
4/26/17,98.959999
4/27/17,99.080002
4/28/17,99.050003
4/30/17,null
5/1/17,99.139999
5/2/17,98.980003
5/3/17,99.209999
5/4/17,98.760002
5/5/17,98.650002
5/7/17,null
5/8/17,99.150002
5/9/17,99.589996
5/10/17,99.669998
5/11/17,99.620003
5/12/17,99.25
5/14/17,null
5/15/17,98.910004
5/16/17,98.110001
5/17/17,97.419998
5/18/17,97.879997
5/19/17,97.150002
5/21/17,null
5/22/17,96.980003
5/23/17,97.349998
5/24/17,97.239998
5/25/17,97.25
5/26/17,97.400002
5/28/17,null
5/30/17,97.279999
5/31/17,96.919998
6/1/17,97.199997
6/2/17,96.720001
6/4/17,null
6/5/17,96.800003
6/6/17,96.639999
6/7/17,96.75
6/8/17,96.919998
6/9/17,97.269997
6/11/17,null
6/12/17,97.139999
6/13/17,96.980003
6/14/17,96.940002
6/15/17,97.43
6/16/17,97.160004
6/18/17,null
6/19/17,97.529999
6/20/17,97.75
6/21/17,97.559998
6/22/17,97.540001
6/23/17,97.300003
6/25/17,null
6/26/17,97.43
6/27/17,96.470001
6/28/17,96.050003
6/29/17,95.629997
6/30/17,95.660004
7/2/17,null
7/3/17,null
7/5/17,96.290001
7/6/17,95.82
7/7/17,96.010002
7/9/17,null
7/10/17,96.050003
7/11/17,95.739998
7/12/17,95.790001
7/13/17,95.730003
7/14/17,95.110001
7/16/17,null
7/17/17,95.129997
7/18/17,94.660004
7/19/17,94.800003
7/20/17,94.269997
7/21/17,93.940002
7/23/17,null
7/24/17,93.980003
7/25/17,94.050003
7/26/17,93.669998
7/27/17,93.860001
7/28/17,93.260002
7/30/17,null
7/31/17,92.860001
8/1/17,93.029999
8/2/17,92.830002
8/3/17,92.809998
8/4/17,93.540001
8/6/17,null
8/7/17,93.43
8/8/17,93.639999
8/9/17,93.519997
8/10/17,93.400002
8/11/17,93.07
8/13/17,null
8/14/17,93.459999
8/15/17,93.849998
8/16/17,93.489998
8/17/17,93.620003
8/18/17,93.43
8/20/17,null
8/21/17,93.099998
8/22/17,93.550003
8/23/17,93.150002
8/24/17,93.279999
8/25/17,92.739998
8/27/17,null
8/28/17,92.209999
8/29/17,92.349998
8/30/17,92.879997
8/31/17,92.669998
9/1/17,92.809998
9/3/17,null
9/5/17,92.309998
9/6/17,92.290001
9/7/17,91.529999
9/8/17,91.330002
9/10/17,null
9/11/17,91.860001
9/12/17,91.910004
9/13/17,92.519997
9/14/17,92.120003
9/15/17,91.870003
9/17/17,null
9/18/17,92.050003
9/19/17,91.790001
9/20/17,92.510002
9/21/17,92.260002
9/22/17,92.169998
9/24/17,null
9/25/17,92.650002
9/26/17,92.970001
9/27/17,93.360001
9/28/17,93.089996
9/29/17,93.080002
10/1/17,null
10/2/17,93.559998
10/3/17,93.57
10/4/17,93.459999
10/5/17,93.959999
10/6/17,93.800003
10/8/17,null
10/9/17,93.739998
10/10/17,93.290001
10/11/17,92.959999
10/12/17,93.120003
10/13/17,93.089996
10/15/17,null
10/16/17,93.279999
10/17/17,93.489998
10/18/17,93.360001
10/19/17,93.269997
10/20/17,93.699997
10/22/17,null
10/23/17,93.940002
10/24/17,93.959999
10/25/17,93.709999
10/26/17,94.610001
10/27/17,94.919998
10/29/17,null
10/30/17,94.489998
10/31/17,94.550003
11/1/17,94.82
11/2/17,94.690002
11/3/17,94.940002
11/5/17,null
11/6/17,94.720001
11/7/17,94.910004
11/8/17,94.870003
11/9/17,94.440002
11/10/17,94.389999
11/12/17,null
11/13/17,94.489998
11/14/17,93.830002
11/15/17,93.809998
11/16/17,93.93
11/17/17,93.660004
11/19/17,null
11/20/17,94.080002
11/21/17,93.949997
11/22/17,93.220001
11/24/17,null
11/26/17,null
11/27/17,92.900002
11/28/17,93.260002
11/29/17,93.260002
11/30/17,93.010002
12/1/17,92.900002
12/3/17,null
12/4/17,93.190002
12/5/17,93.379997
12/6/17,93.610001
12/7/17,93.800003
12/8/17,93.900002
12/10/17,null
12/11/17,93.870003
12/12/17,94.099998
12/13/17,93.43
12/14/17,93.489998
12/15/17,93.93
12/17/17,null
12/18/17,93.699997
12/19/17,93.470001
12/20/17,93.349998
12/21/17,93.279999
12/22/17,93.349998
12/24/17,null
12/26/17,93.260002
12/27/17,93.029999
12/28/17,92.599998
12/29/17,92.120003
12/31/17,null
1/2/18,91.849998
1/3/18,92.160004
1/4/18,91.849998
1/5/18,91.949997
1/7/18,null
1/8/18,92.330002
1/9/18,92.529999
1/10/18,92.330002
1/11/18,91.849998
1/12/18,90.970001
1/14/18,null
1/16/18,90.389999
1/17/18,90.540001
1/18/18,90.5
1/19/18,90.57
1/21/18,null
1/22/18,90.400002
1/23/18,90.120003
1/24/18,89.209999
1/25/18,89.389999
1/26/18,89.07
1/28/18,null
1/29/18,89.309998
1/30/18,89.190002
1/31/18,89.129997
2/1/18,88.669998
2/2/18,89.199997
2/4/18,null
2/5/18,89.550003
2/6/18,89.589996
2/7/18,90.260002
2/8/18,90.230003
2/9/18,90.440002
2/11/18,null
2/12/18,90.209999
2/13/18,89.699997
2/14/18,89.120003
2/15/18,88.589996
2/16/18,89.099998
2/18/18,null
2/20/18,89.720001
2/21/18,90.080002
2/22/18,89.75
2/23/18,89.879997
2/25/18,null
2/26/18,89.82
2/27/18,90.360001
2/28/18,90.610001
3/1/18,90.32
3/2/18,89.940002
3/4/18,null
3/5/18,90.080002
3/6/18,89.620003
3/7/18,89.639999
3/8/18,90.120003
3/9/18,90.089996
3/11/18,null
3/12/18,89.900002
3/13/18,89.660004
3/14/18,89.699997
3/15/18,90.139999
3/16/18,90.230003
3/18/18,null
3/19/18,89.900002
3/20/18,90.370003
3/21/18,89.779999
3/22/18,89.860001
3/23/18,89.440002
3/25/18,null
3/26/18,89.029999
3/27/18,89.370003
3/28/18,90.059998
3/29/18,90.150002
4/1/18,null
4/2/18,90.050003
4/3/18,90.199997
4/4/18,90.139999
4/5/18,90.459999
4/6/18,90.110001
4/8/18,null
